id	unit	characters	pinyin	meaning	subunit	course
46	37	请 你 帮忙 搬 这 张 桌子	qǐng nǐ bāngmáng bān zhè zhāng zhuōzi.	please help me move this table.	1	hsk
47	28	会议 结束 的 时候 ， 大家 都 可以 回家 了	Huìyì jiéshù de shíhòu, dàjiā dōu kěyǐ huí jiāle	when the meeting is over, everyone can go home	4	hsk
48	38	我 的 手机 坏了 , 周末 我 要 去 商店 换 一 个 。	wǒ de shǒujī huài le, zhōumò wǒ yào qù shāngdiàn huàn yí ge	my phone broke, on the weekend I need to go to the store to replace it	4	hsk
51	40	我 喜欢 看 爱情 电影	wǒ xǐhuān kàn àiqíng diànyǐng	I like to watch romance movies	2	hsk
52	40	了解 一个人 的 爱好 可以 帮助 你 更 好 地 了解 这个 人	liǎojiě yí ge rén de àihào kěyǐ bāngzhù nǐ gèng hǎode liǎojiě zhège rén	knowing someone's hobbies can help you understand that person better	1	hsk
53	35	公园 里 非常 安静 ， 只有 鸟儿 的 声音	gōng yuán lǐ fēi cháng ān jìng, zhǐ yǒu niǎo ér de shēng yīn	The park is very quiet, with only the voice of birds	3	hsk
55	34	除了 周末 我 都 很 忙 ， 没有 时间 去 运动	chúle zhōumò wǒ dōu hěn máng, méiyǒu shíjiān qù yùndòng	except for the weekends, I am very busy and have no time to exercise	1	hsk
56	27	今天 的 天气 多么 好 啊	jīntiān de tiānqì duōme hǎo a	how nice the weather is today	1	hsk
57	37	我 带 了 一些 水果 去 旅行	wǒ dài le yīxiē shuǐguǒ qù lǚxíng	I brought some fruits for the trip	1	hsk
58	40	我 当然 想 去 看 电影	wǒ dāngrán xiǎng qù kàn diànyǐng	of course I want to go see a movie	4	hsk
60	26	牛奶 被 我 放进 了 冰箱	niúnǎi bèi wǒ fàng jìn le bīngxiāng	the milk was put into the fridge by me	1	hsk
62	27	我 爱 我 的 国家 ， 它 有 很 多 的 河 和 公园	wǒ ài wǒ de guójiā, tā yǒu hěnduō de hé hé gōngyuán	I love my country, it has many rivers and parks	1	hsk
63	30	我 关心 你 的 健康 ， 所以 我 希望 你 每天 都 能 锻炼 身体	wǒ guānxīn nǐ de jiànkāng, suǒyǐ wǒ xīwàng nǐ měitiān dōu néng duànliàn shēntǐ	 I care about your health, so I hope you can exercise every day	3	hsk
64	24	我 跟 我 的 爷爷 和 奶奶 住 在一起	wǒ gēn wǒ de yéyé hé nǎinai zhù zài yīqǐ	I live together with my grandfather and grandmother	1	hsk
65	43	我 敢 说 我 喜欢 你	wǒ gǎn shuō wǒ xǐhuān nǐ	I dare to say that I like you	3	hsk
66	33	老师 讲 ， 而且 学生 们 都 认真 听 着	lǎoshī jiǎng, érqiě xuéshēngmen dōu rènzhēn tīngzhe	the teacher talks, and the students listen carefully	3	hsk
67	38	你 记得 带 护照 了 吗	nǐ jìdé dài hùzhào le ma	did you remember to bring your passport	1	hsk
68	41	我 马上 要 去 银行	wǒ mǎshàng yào qù yínháng	I must go to the bank at once	1	hsk
69	28	我们 已经 完成 了 这个 工作 ， 现在 我们 可以 开始 做 其他 工作 了	wǒmen yǐjīng wánchéngle zhège gōngzuò, xiànzài wǒmen kěyǐ kāishǐ zuò qítā gōngzuòle	we have already finished this work, now we can start doing other work	4	hsk
70	29	我 不 太 清楚 怎么 走 ， 你 能 给 我 一 个 清楚 的 路 吗	wǒ bù tài qīngchǔ zěnme zǒu, nǐ néng gěi wǒ yīgè qīngchǔ de lù ma	I am not sure how to go, can you give me a clear route	2	hsk
72	34	为了 提高 我 的 体育 水平 ， 我 每天 都 努力 练习	wèile tígāo wǒ de tǐyù shuǐpíng, wǒ měitiān dū nǔlì liànxí	In order to improve my fitness level, I practice hard every day	2	hsk
73	25	我 在 饭馆 的 菜单 上 选择 了 一 个 菜	wǒ zài fànguǎn de càidān shàng xuǎnzéle yī gè cài	I chose a dish from the restaurant’s menu	3	hsk
75	35	照顾 熊猫 是 很 难 的	zhàogù xióngmāo shì hěn nán de	it is difficult to take care of pandas	2	hsk
76	26	请 离开 厨房 时 关 灯	qǐng líkāi chúfáng shí guān dēng	please turn off the light when you leave the kitchen	2	hsk
77	41	根据 经理 ， 银行 明天 一定 会 开	gēnjù jīnglǐ, yínháng míngtiān yídìng huì kāi	according to the manager, the bank will surely be open tomorrow	3	hsk
80	42	  他 一般 对 别人 都 很 热情	tā yībān duì biérén dōu hěn rèqíng	 he is generally polite to others	1	hsk
81	41	我 从 银行 拿出 一共 两 万 零 三 百 元 八角	wǒ cóng yínháng náchū yīgòng liǎng wàn líng sānbǎi yuán bā jiǎo	I took out 20,300.8 yuan altogether from the bank.	2	hsk
82	40	你 晚上 走路 的 时候 应该 小心	nǐ wǎnshàng zǒulù de shíhòu yīnggāi xiǎoxīn	you should be careful when walking late at night	3	hsk
83	43	考试 后 ， 我 一边 放心 ， 一边 担心	Kǎoshì hòu, wǒ yībiān fàngxīn, yībiān dānxīn	after the test, I feel relieved while also worried	1	hsk
84	28	你 为什么 又 不 去 上班 了	nǐ wèi shén me yòu bù qù shàng bān le	why are you not going to work again	3	hsk
85	37	你 愿意 借 我 这 本 书 吗	nǐ yuànyì jiè wǒ zhè běn shū ma	are you willing to lend me this book	3	hsk
86	31	老师 要求 作业 必须 有 五 段 ， 或者 五 百 个 词语	lǎoshī yāoqiú zuòyè bìxū yǒu wǔ duàn, huòzhě wǔbǎi gè cíyǔ	the teacher requires that the homework must have five paragraphs or five hundred words	3	hsk
87	44	其实 我 不 喜欢 吃 甜 的	qíshí wǒ bù xǐhuān chī tián de	actually, I don’t like to eat sweet things	1	hsk
88	39	我 需要 开 空调	wǒ xūyào kāi kōngtiáo	 I need to turn on the air conditioning	2	hsk
89	39	虽然 现在 是 冬天 ， 但是 今天 很 热	suīrán xiànzài shì dōngtiān, dànshì jīntiān hěn rè	although it is winter now, it is hot today	1	hsk
90	39	如果 你 觉得 冷 ， 就 关 空调	rúguǒ nǐ juédé lěng, jiù guān kōngtiáo	if you feel cold, then turn off the air conditioning	2	hsk
91	28	她 不 习惯 新 的 工作 环境	tā bù xíguàn xīn de gōngzuò huánjìng	she is not used to the new work environment	2	hsk
92	44	糖 放 得 越 多 ， 蛋糕 就 越 甜	táng fàng de yuè duō, dàngāo jiù yuè tián	the more sugar added, the sweeter the cake	4	hsk
93	26	每天 刷牙 很 重要	měitiān shuāyá hěn zhòngyào	It's important to brush teeth every day.	4	hsk
94	44	我们 以为 这 道 菜 很 甜 ， 但 其实 不 甜	wǒmen yǐwéi zhè dào cài hěn tián, dàn qíshí bù tián	we thought this dish was sweet, but actually it’s not	4	hsk
99	61	如果 你 打算 参加 聚会 ， 请 报名	rúguǒ nǐ dǎsuàn cānjiā jùhuì, qǐng bàomíng	if you plan to attend the party, please register	2	hsk
100	60	我 保证 我 会 按时 完成 工作	wǒ bǎozhèng wǒ huì ànshí wánchéng gōngzuò	I guarantee that I will finish the work on time	2	hsk
101	66	我 已经 看 了 这个 电影 三 遍 ， 我 不想 重新 看	wo yǐjīng kànle zhège diànyǐng sān biàn, wǒ bùxiǎng chóngxīn kàn	I’ve already seen this movie three times, I don’t want to watch it again	2	hsk
103	55	他 一直 坚持 节约 钱 ， 终于 积累 了 够 的 钱 买 新手 机	tā yīzhí jiānchí jiéyuē qián, zhōngyú jīlěile gòu de qián mǎi xīn shǒujī	he has always insisted on saving money and finally accumulated enough to buy a new smartphone.	4	hsk
104	63	由于 一次 吵 ， 他们 的 友谊 断 了	yóuyú yīcì chǎo, tāmen de yǒuyì duànle	due to a quarrel, their friendship ended.	4	hsk
105	93	不管 天气 好坏 ， 即使 下雨 ， 他 每天 都 去 跑步 。	Bùguǎn tiānqì hǎo huài, jíshǐ xià yǔ, tā měitiān dōu qù pǎobù	Regardless of good or bad weather, even if it’s raining, he goes running every day	2	hsk
106	70	请 你 详细 地 说明 这个 问题	qǐng nǐ xiángxì de shuōmíng zhège wèntí	please explain this issue in detail	3	hsk
107	51	公司 决定 减少 售货员 的 工作时间 。	gōngsī juédìng jiǎnshǎo shòuhuòyuán de gōngzuò shíjiān	The company decided to reduce the working hours of salespeople	2	hsk
108	63	我们 有 许多 共同 的 兴趣 。	wǒmen yǒu xǔduō gòngtóng de xìngqù	we have many common interests	4	hsk
109	79	喝 完 后 ， 请 把 瓶子 扔 进 垃圾桶 。	hē wán hòu, qǐng bǎ píngzi rēng jìn lājī tǒng	please throw the bottle into the trash can after you finish drinking it	2	hsk
110	49	我 计划   参观 我 想 留学 的 学校	wǒ jìhuà cānguān wǒ xiǎng liúxué de xuéxiào	I plan to visit the school where I want to study abroad	1	hsk
111	63	我 不 小心 把 你 的 电话 号码 弄丢 了 ， 你 能 再 给 我 一次 吗 ？	wǒ bù xiǎoxīn bǎ nǐ de diànhuà hàomǎ nòng diū le, nǐ néng zài gěi wǒ yīcì ma	I accidentally lost your phone number, could you give it to me again	3	hsk
112	49	当 我 看到 考试 成绩 时 ， 我 非常 吃惊 ， 因为 我 没有 想到 会 得到 这么 高 的 成绩 。	dāng wǒ kàn dào kǎoshì chéngjī shí, wǒ fēicháng chījīng, yīn wèi wǒ méiyǒu xiǎng dào huì dédào zhème gāo de chéngjī	when I saw the exam results, I was very surprised because I didn’t expect to get such a high score	2	hsk
113	83	我 怀疑 这个 材料 是 假的 。	wǒ huáiyí zhège cáiliào shì jiǎ de	 I suspect this material is fake	3	hsk
114	70	你 对 这个 问题 有 什么 看法	nǐ duì zhège wèntí yǒu shéme kàn fǎ	what is your view on this issue	2	hsk
115	79	首先 ， 你 应该 脱掉 你 的 鞋子 ， 然后 进入 房间 。	shǒuxiān, nǐ yīnggāi tuō diào nǐ de xiézi, ránhòu jìnrù fángjiān	first of all, you should take off your shoes, then enter the room	2	hsk
116	57	  这 篇 文章 的 这 部分 真的 很 有趣	zhè piān wénzhāng de zhè bùfen zhēn de hěn yǒuqù	this part of the article is really interesting	2	hsk
118	79	尽管 很 困 ， 他 还是 主动 在 公交车 上 让 出 了 座位 给 一 个 老人 。	jǐnguǎn hěn kùn, tā háishì zhǔdòng zài gōngjiāo chē shàng ràng chūle zuòwèi gěi yīgè lǎorén	despite being tired, he actively gave up his seat on the bus for an elderly person	3	hsk
119	49	他 后悔 没有 在 不得不 猜 答案 的 时候 学习	tā hòuhuǐ méiyǒu zài bùdébù cāi dá’àn de shíhòu xuéxí	he regretted not studying when he was forced to guess the answers	3	hsk
120	80	既然 雨 停止 了 ， 我们 可以 继续 我们 的 网球 比赛 。	jìrán yǔ tíngzhǐ le, wǒmen kěyǐ jìxù wǒmen de wǎngqiú bǐsài	now that the rain has stopped, we can continue our tennis game	3	hsk
121	63	请 告诉 我 你 的 电话 号码 的 最后 四 个 数字 。	qǐng gàosù wǒ nǐ de diànhuà hàomǎ de zuìhòu sì gè shùzì	please tell me the last four digits of your phone number	3	hsk
122	62	他 不但 高 ， 而且 帅 。	tā bùdàn gāo, érqiě shuài	he is not only tall but also handsome	1	hsk
123	51	去年 ， 高级 管理 发生 了 改变	qùnián, gāojí guǎnlǐ fǎ shēng le gǎibiàn	last year, the high level managment changed	3	hsk
125	82	她 在 新城 市里 感到 非常 孤单 ， 没有 朋友 和 亲人 。	tā zài xīn chéngshì lǐ gǎndào fēicháng gūdān, méiyǒu péngyǒu hé qīnrén	she feels very lonely in the new city without friends or family	3	hsk
126	52	火车站 暂时 关 了 。	huǒchē zhàn zhànshí guān le	the train station is temporarily closed	2	hsk
128	62	他 笑 起来 真 好看 。	tā xiào qǐlái zhēn hǎokàn	he looks really good when he smiles	2	hsk
129	58	你 来 这里 的 目的 是 什么 ？	nǐ lái zhèlǐ de mùdì shì shénme	what is your purpose in coming here	1	hsk
130	55	商店 入口 在 有 打折 的 东西	shāngdiàn rùkǒu zài yǒu dǎzhé de dōngxī	there are discounted things at the entrance of the store	1	hsk
132	52	难道 公交车 又 要 迟到 了 吗	Nándào gōngjiāo chē yòu yào chídàole ma	don’t tell me the bus will be late again!	2	hsk
133	53	他 拉开 门 走 了 进去 。	tā lā kāi mén zǒule jìnqù	he pulled the door open and went in	2	hsk
134	71	他 是 一 个 优秀 的 学生 ， 并且 他 运动 很 好 。	tā shì yīgè yōuxiù de xuéshēng, bìngqiě tā yùndòng hěn hǎo	he is an excellent student and he is good at sports	2	hsk
135	2	她 吃 水果	tā chī shuǐguǒ	she eats fruit	1	hsk
136	2	我 吃 水果 和 米饭	wǒ chī shuǐguǒ hé mǐfàn	I eat apples and rice	1	hsk
137	2	我 喝茶	wǒ hē chá	I drink tea	2	hsk
138	2	他 喜欢 喝 水	tā xǐhuān hē shuǐ	he likes to drink water	2	hsk
139	2	我 要 吃 水果	wǒ yào chī shuǐguǒ	I want to eat fruit	2	hsk
140	2	我 有 一 杯 水	wǒ yǒu yībēi shuǐ	I have one bottle of water	3	hsk
141	2	他 有 一些 苹果	tā yǒu yīxiē píngguǒ	he has some apples	3	hsk
142	2	她 有 两 杯 茶	tā yǒu liǎng bēi chá	she has two bottles of tea	3	hsk
143	3	你 的 家 有 几个 人	nǐ de jiā yǒu jǐ gèrén	how many people do you have in your house	2	hsk
144	3	我 有 一 个 姐姐	wǒ yǒu yīgè jiějiě	I have one older sister 	1	hsk
145	3	我 有 两 个 哥哥	wǒ yǒu liǎng gè gēgē	I have two older brothers	1	hsk
146	3	我 爱 我 的 妈妈	wǒ ài wǒ de māmā	I love my mother	1	hsk
147	3	你 有 孩子 吗	nǐ yǒu háizi ma	Do you have children	1	hsk
148	3	我们 家 有 三 个人	wǒmen jiā yǒu sān gè rén	we have three people in our family	2	hsk
149	3	我 女儿 有 两 个 孩子	wǒ nǚ'ér yǒu liǎng gè háizi	my daughter has two children	2	hsk
150	3	我 妹妹 想 喝茶	wǒ mèimei xiǎng hē chá	my little sister wants to drink tea	4	hsk
151	3	他 的 妻子 是 我 的 女儿	tā de qīzi shì wǒ de nǚ'ér	his wife is my daughter	3	hsk
152	3	我 的 儿子 是 她 的 丈夫	wǒ de érzi shì tā de zhàngfū	my son is her husband	3	hsk
153	3	我 爱 我 爸爸	wǒ ài wǒ bàba	I love my father	3	hsk
154	4	这个 苹果 是 四 块 钱	zhège píngguǒ shì sì kuài qián	this apple is four yuan	1	hsk
155	4	这 杯 水 是 五 块	zhè bēi shuǐ shì wǔ kuài	this bottle of water is five yuan	1	hsk
156	4	那 杯 水 多少 钱	nà bēi shuǐ duōshǎo qián	how much money is that bottle of water	2	hsk
157	4	那 两 杯 水 是 六 块	nà liǎng bēi shuǐ shì liù kuài	those two bottles of water are six yuan	2	hsk
158	4	这 杯 茶 是 七 块	zhè bēi chá shì qī kuài	this bottle of tea is seven yuan	2	hsk
159	4	这 八 个 苹果 是 二十 九 快	zhè bā gè píngguǒ shì èrshíjiǔ kuài	these eight apples are twenty nine yuan	3	hsk
160	4	我 有 八十 三 块 钱	wǒ yǒu bāshísān kuài qián	I have eighty three yuan	3	hsk
162	5	这个手机 五 千 一 百 零 元	zhège shǒujī wǔqiān yībǎi líng wǔ yuán	this cell phone is five thousand one hundred and five yuan	2	hsk
163	5	这家商店卖的东西都很贵	zhè jiā shāngdiàn mài de dōngxī dū hěn guì	the things this store sells are all very expensive	3	hsk
164	6	今天 是 星期一	jīntiān shì xīngqí yī	today is Monday	1	hsk
165	6	昨天 是 星期三	zuótiān shì xīngqísān	yesterday was Wednesday	1	hsk
166	6	明天 是 星期六	míngtiān shì xīngqíliù	tomorrow is Saturday 	1	hsk
167	6	明天 是 一月 三 号	míngtiān shì yī yuè sān hào	tomorrow is january third	2	hsk
168	6	今天 是 十二月 三十 一	jīntiān shì shí'èr yuè sānshíyī	today is december thirty first	2	hsk
169	6	今天 是 什么 日子	jīntiān shì shénme rìzi	what day is today	2	hsk
170	6	昨天 是 两 千 二十 三 年 五月 二十 八 号	zuótiān shì liǎng qiān èrshísān nián wǔ yuè èrshíbā hào	yesterday was may twenty eight, two thousand twenty three	2	hsk
171	6	明天 是 我 的 生日	míngtiān shì wǒ de shēngrì	tomorrow is my birthday	3	hsk
172	6	去年 我 二十 三 岁	qùnián wǒ èrshísān suì	last year I was twenty three years old	3	hsk
173	6	每年 我 长 高	měi nián wǒ zhǎng gāo	every year I grow taller	3	hsk
174	7	我 每天 早上 八 点 起床	wǒ měitiān zǎoshang bā diǎn qǐchuáng	I wake up at eight o'clock in the morning every day	1	hsk
176	7	我 起床 后 一 小时 吃 早饭	wǒ qǐchuáng hòu yī xiǎoshí chī zǎofàn	I eat breakfast one hour after waking up	1	hsk
177	7	我 十二 点 三十 分 吃 午饭	wǒ shí'èr diǎn sānshí fēn chī wǔfàn	I eat lunch at twelve thirty	2	hsk
178	7	我 现在 没 时间 去 商店	wǒ xiànzài méi shíjiān qù shāngdiàn	I don't have time to go to the store now	2	hsk
179	7	中午 我 有时 间 去 商店 买 午饭	zhōngwǔ wǒ yǒu shíjiān qù shāngdiàn mǎi wǔfàn	I will have time to go to the store at noon to buy lunch	3	hsk
180	7	我 今天 上午 十 点 三十 分 吃 了 早饭	wǒ jīntiān shàngwǔ shí diǎn sānshí fēn chīle zǎofàn	I ate breakfast at ten thirty a.m.	2	hsk
181	7	三十 分钟 后 我 有时 间 去 商店	sānshí fēnzhōng hòu wǒ yǒu shíjiān qù shāngdiàn	I will have time to go to the store in thirty minutes	2	hsk
182	7	昨天 中午 没 时间 吃 午饭 所以 下午 一点 吃 了	zuótiān zhōngwǔ méi shíjiān chī wǔfàn suǒyǐ xiàwǔ yīdiǎn chīle	yesterday I didn't have time to eat lunch at noon so I ate it at one o'clock in the afternoon	3	hsk
183	7	我 晚上 十 点 十五 分 睡觉	wǒ wǎnshàng shí diǎn shíwǔ fēn shuìjiào	I go to sleep at ten fifteen in the evening	3	hsk
184	6	生日快乐 ！	shēngrì kuàilè	happy birthday	3	hsk
185	7	昨天 我 很 累 所以 吃完 晚饭 就 睡觉 了	zuótiān wǒ hěn lèi suǒyǐ chī wán wǎnfàn jiù shuìjiàole	I was very tired yesterday so I went to sleep after eating dinner	3	hsk
186	9	我 住 在 北京	wǒ zhù zài běijīng	I live in Beijing	1	hsk
187	9	我 的 狗 很 大	wǒ de gǒu hěn dà	my dog is very big	2	hsk
188	9	我 的 猫 很 小	wǒ de māo hěn xiǎo	my cat is very small	2	hsk
189	9	我 回家 后 喂 我 的 猫	wǒ huí jiā hòu wèi wǒ de māo	I feed my cat after I come home	2	hsk
190	9	我 每天 下午 五 点 四十 五 分 回家	wǒ měitiān xiàwǔ wǔ diǎn sìshíwǔ fēn huí jiā	I come home at five forty five p.m every day	1	hsk
191	12	我 从 家 坐 公共汽车 到 商店	wǒ cóng jiā zuò gōnggòng qìchē dào shāngdiàn	I take a bus from my house to the store	1	hsk
192	12	我 坐 出租车 去 机场	wǒ zuò chūzū chē qù jīchǎng	I took a taxi to the airport	3	hsk
193	13	服务员 ， 给 我 一 杯 咖啡	fúwùyuán, gěi wǒ yībēi kāfēi	waiter, give me one cup of coffee	2	hsk
194	13	这 家 饭馆 有 羊肉 ， 也 有 鱼	zhè jiā fànguǎn yǒu yángròu, yěyǒu yú	this restaurant has mutton and also has fish	3	hsk
195	13	这个 西瓜 很 大 ， 有 十八 公斤	zhège xīguā hěn dà, yǒu shíbā gōngjīn	this watermelon is very big, it is eighteen kilograms	3	hsk
196	14	  报纸 今天 早上 六 点 三十 分送 了	bàozhǐ jīntiān zǎoshang liù diǎn sānshí fēn sòngle	the newspaper was delivered at six thirty in the moring today	4	hsk
197	14	我 会 说 汉语	wǒ huì shuō hànyǔ	I can speak chinese	1	hsk
198	14	我 正在 学习 汉语	wǒ zhèngzài xuéxí hànyǔ	I'm learning Chinese	1	hsk
199	14	我 已经 读 今天 的 报纸 了	wǒ yǐjīng dú jīntiān de bàozhǐle	I already read today’s newspaper.	4	hsk
200	14	我 会 说 ， 但是 不会 读 中文	wǒ huì shuō, dànshì bù huì dú zhōngwén	I can speak, but can’t read Chinese	2	hsk
201	14	我 不 懂 这 本 书	wǒ bù dǒng zhè běn shū	I don't understand this book	2	hsk
202	14	这个 字 是 什么 意思	zhège zì shì shénme yìsi	what does this character mean	3	hsk
203	14	我 会 写 这个 角色 ， 你 呢 ?	wǒ huì xiě zhège juésè, nǐ ne?	I can write this character, what about you?	3	hsk
204	15	他 是 一 个 好 学生	tā shì yīgè hào xuéshēng	he is a good student	3	hsk
205	15	我 喜欢 在 学校 和 同学 们 一起 笑	wǒ xǐhuān zài xuéxiào hé tóngxuémen yīqǐ xiào	I like to laugh with my classmates at school	3	hsk
206	15	告诉 老师 我 今天 不 来 上课	gàosù lǎoshī wǒ jīntiān bù lái shàngkè	tell the teacher I'm not coming to class today	2	hsk
207	15	每天 九 点 开始 上课	měitiān jiǔ diǎn kāishǐ shàngkè	class begins at nine o'clock every day	1	hsk
208	15	老师 现在 不在 教室	lǎoshī xiànzài bùzài jiàoshì	the teacher is not in the classroom right now	2	hsk
209	15	我们 今天 有 课 吗 ?	wǒmen jīntiān yǒu kè ma	do we have class today	1	hsk
210	16	今天 天气 很 热	jīntiān tiānqì hěn rè	the weather is very hot today	1	hsk
211	16	今天 天气 非常 冷	jīntiān tiānqì fēicháng lěng	the waether is extreamly cold today	1	hsk
212	16	明天 会 再 下雨	míngtiān huì zài xià yǔ	it will rain again tomorrow	2	hsk
213	16	下雪 的 时候 我们 不 上课	Xià xuě de shíhòu wǒmen bù shàngkè	when it snows we don't have class	2	hsk
214	16	我 希望 明天 天气 晴	wǒ xīwàng míngtiān tiānqì qíng	I hope the weather will be clear tomorrow	3	hsk
215	16	今天 太阴 了	jīntiān tàiyīnle	it's too cloudy today	3	hsk
216	17	我 很 高兴 认识 你	wǒ hěn gāoxìng rènshí nǐ	I'm very glad to meet you	1	hsk
217	17	让 我 介绍 李 伟 先生	ràng wǒ jièshào lǐ wěi xiānshēng	allow me to introduce Mr. Li Wei to you	1	hsk
218	17	欢迎 来到 我 家	huānyíng lái dào wǒ jiā	 welcome to my home	2	hsk
219	17	谢谢 您	xièxiè nín	thank you	2	hsk
220	17	你 姓 什么	nǐ xìng shénme	what's your last name	2	hsk
221	17	不客气 ， 我 可以 帮助 你	bù kèqì, wǒ kěyǐ bāngzhù nǐ	you're welcome, I can help you	3	hsk
222	17	我 有 一 个 问题	wǒ yǒu yīgè wèntí	I have a question	4	hsk
223	16	明天 可能 会 下雨 吗	míngtiān kěnéng huì xià yǔ ma	will it possibly rain tomorrow	2	hsk
224	18	我 觉得 这个 小姐 穿 红 衣服 很 漂亮	wǒ juédé zhège xiǎojiě chuān hóng yīfú hěn piàoliang	I think this lady looks beautiful in red dress	2	hsk
225	18	你 觉得 这个 颜色 怎么样	nǐ juédé zhège yánsè zěnme yàng	what do you think of this color	3	hsk
226	18	他 有 一 个 黑色 的 手表	tā yǒu yīgè hēisè de shǒubiǎo	he has a black watch	3	hsk
227	18	我 最 喜欢 白色 的	wǒ zuì xǐhuān báisè de	I like the white one the most	1	hsk
228	18	你 觉得 那个 女人 漂亮 吗	nǐ juédé nàgè nǚrén piàoliang ma	do you think that woman is pretty	2	hsk
229	18	我 现在 正在 洗衣 服	wǒ xiànzài zhèngzài xǐ yīfú	I'm currently in middle of washing my clothes	3	hsk
